"path","bytes","sha256","dataset","role","intentional_defect","lineage"
"sm4/soundscapes/Data/W50940S22938_20240116_140000.wav",11522640,"eaf8bdf44db8729e00357ebc9d0bd522548331a03576fd15c3258de31093e3e3","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_141000.wav",11522640,"1e8a966c0477074cd0833610a680b4caa039b47d0ddc94e7f0125102d0ff4cab","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_142000.wav",11522640,"efbeae0acb9f54a74580e70c52de6f7fd775f12f137ce34c9f8e4b48dea48d9a","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_143000.wav",11522640,"e075001265abe187d58f693250a44cf05f8a47e3ce4d7ec8df9b09272a220c49","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_144000.wav",11522640,"ce7504c52596800e67b219411b7964f197873a2511dbf9a651d6f5ab9f5f59c6","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_145000.wav",11522640,"232da19829ba4d29fe46d2b9b14149dd912612b0d50c9b1c70a2bcb31f33a06e","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_150000.wav",11522640,"cbf9fecb714657ebaf027a033de85daf5fe074fd0aae0c369d1384230efe2ebe","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_151000.wav",11522640,"ac455e71c2d695286c6a55a69396947a265b194b6b9f7a09e65765419a3abfd8","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_152000.wav",11522640,"79a53cef4c2686b9150446c873cf182e16e82e491914644935c67fd9dac801c6","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_153000.wav",11522640,"f78098aca6b9a0ca43473b6916c421e6da14e5843b4a4dca808d08d2321d343c","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_154000.wav",11522640,"6fd075a831225007cdcf7737d245b95f4101f8fc084982315c92e09be6a7877d","sm4","audio","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240222_152000.wav",0,"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","sm4","audio","zero_byte","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240222_153000.wav",0,"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","sm4","audio","zero_byte","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240222_154000.wav",0,"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","sm4","audio","zero_byte","EXPANDED"
"sm4/soundscapes/W50940S22938_A_Summary.txt",354178,"e52ff1fc95ce382a5417960e01c3f8bdba97f8c06990d9c2ca0eb3a5c99abb9d","sm4","sidecar","","EXPANDED"
"STATUS.md",23178,"8aa025fc980118431b254b5772ff2548771390d2b71fcc9453bbc87fa68d1f14","","doc","",""
