DATE,TIME,LAT,,LON,,POWER(V),TEMP(C),#FILES,MIC0 TYPE,MIC1 TYPE 
2024-Jan-17,11:31:00,-22.93806,s,50.84900,w,5.5,31.75,1,IN,IN 
2024-Jan-17,11:41:00,-22.93806,s,50.84900,w,5.5,32.00,1,IN,IN 
2024-Jan-17,11:51:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,12:01:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,12:11:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,12:21:00,-22.93806,s,50.84900,w,5.5,32.50,1,IN,IN 
2024-Jan-17,12:31:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,12:41:00,-22.93806,s,50.84900,w,5.5,32.50,1,IN,IN 
2024-Jan-17,12:51:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,13:01:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,13:11:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,13:21:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,13:31:00,-22.93806,s,50.84900,w,5.5,32.25,1,IN,IN 
2024-Jan-17,13:41:00,-22.93806,s,50.84900,w,5.5,31.75,1,IN,IN 
2024-Jan-17,13:51:00,-22.93806,s,50.84900,w,5.5,31.75,1,IN,IN 
2024-Jan-17,14:01:00,-22.93806,s,50.84900,w,5.5,31.50,1,IN,IN 
2024-Jan-17,14:11:00,-22.93806,s,50.84900,w,5.5,31.25,1,IN,IN 
2024-Jan-17,14:21:00,-22.93806,s,50.84900,w,5.5,30.75,1,IN,IN 
2024-Jan-17,14:31:00,-22.93806,s,50.84900,w,5.5,30.25,1,IN,IN 
2024-Jan-17,14:41:00,-22.93806,s,50.84900,w,5.5,29.75,1,IN,IN 
2024-Jan-17,14:51:00,-22.93806,s,50.84900,w,5.5,28.75,1,IN,IN 
2024-Jan-17,15:01:00,-22.93806,s,50.84900,w,5.5,28.00,1,IN,IN 
2024-Jan-17,15:11:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-17,15:21:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,15:31:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,15:41:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,15:51:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,16:01:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,16:11:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,16:21:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,16:31:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
